id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
4254000220,20150307T000000,475000,4,2.5,2040,16200,2,N,0,3,8,2040,0,1997,0,98019,47.7366,-121.958,2530,15389
7302000610,20150508T000000,316000,4,1.5,2120,46173,2,N,0,3,7,2120,0,1974,0,98053,47.6503,-121.968,2000,46173
7855600820,20140904T000000,802000,4,2.25,2130,8734,2,N,2,4,8,2130,0,1961,0,98006,47.5672,-122.161,2550,8800
4139460200,20150325T000000,905000,4,2.5,3330,9557,2,N,0,3,10,3330,0,1995,0,98006,47.5526,-122.102,3360,9755
8901500178,20141030T000000,700000,4,2.25,2440,9450,1.5,N,0,3,7,2440,0,1947,2014,98125,47.7061,-122.307,1720,7503
2730000270,20150212T000000,178500,3,1,900,10511,1,N,0,4,6,900,0,1961,0,98001,47.2883,-122.272,1460,10643
4178300130,20150413T000000,950000,7,3.5,3470,16264,2,N,0,4,9,3470,0,1980,0,98007,47.6203,-122.149,3040,13500
9269750460,20140519T000000,247000,3,2.25,1580,7941,2,N,0,4,7,1580,0,1986,0,98023,47.2843,-122.357,1730,8051
3818700190,20141215T000000,387846,4,1.75,2520,15205,1,N,0,4,7,2040,480,1954,0,98028,47.7642,-122.264,1680,10000
1471610060,20140708T000000,370000,3,1.75,1570,16817,2,N,0,3,7,1570,0,1982,0,98045,47.4716,-121.756,1600,16817
9512200090,20150501T000000,529000,3,1.75,2340,7724,1,N,0,3,10,2340,0,2010,0,98058,47.4593,-122.134,3040,5787
4166600610,20150514T000000,335000,3,2,1410,44866,1,N,0,4,7,1410,0,1985,0,98023,47.3273,-122.37,2950,29152
1704900206,20140602T000000,465500,3,1.75,1890,7004,1,N,0,3,7,1290,600,1965,0,98118,47.5557,-122.28,1440,5378
3530200160,20140603T000000,654950,4,2.5,2790,45902,2,N,0,3,9,2790,0,1987,0,98077,47.7674,-122.086,2890,42421
8860300220,20150429T000000,612000,5,2.5,2300,7000,1,N,0,3,8,1290,1010,1975,0,98052,47.6875,-122.122,2080,7280
2523069156,20141203T000000,520000,3,2.25,2510,43995,2,N,0,3,8,2510,0,1981,0,98027,47.4545,-121.988,2470,48351
2321300351,20140612T000000,575000,2,1,1510,4032,1.5,N,0,3,8,1310,200,1935,0,98199,47.6371,-122.393,1700,4042
1446400615,20140527T000000,268000,4,2,1930,6600,1,N,0,4,7,1030,900,1967,0,98168,47.482,-122.332,1220,6600
4391600065,20140814T000000,330000,2,0.75,520,6862,1,N,0,4,4,520,0,1924,1980,98010,47.326,-122.037,1170,8756
1088810040,20150320T000000,627250,4,2.5,2830,10677,2,N,0,3,9,2830,0,1993,0,98011,47.742,-122.208,2970,9619
9485920120,20140829T000000,290000,4,2.5,2340,52272,2,N,0,2,8,2340,0,1978,0,98042,47.3468,-122.091,2480,40500
